!Kheis	Kheis
lewendeaksiekortflieks	lewendeaksie-kortflieks
lewensloopperspektief	lewensloop-perspektief
lewensloopperspektiewe	lewensloop-perspektiewe
lewensveranderend	lewens-veranderend
lewensveranderende	lewens-veranderende
lewenswetenskappeolimpiade	lewenswetenskappe-olimpiade
lewenswetenskappeolimpiades	lewenswetenskappe-olimpiades
lewenswetenskappeonderrig	lewenswetenskappe-onderrig
lewenswetenskappeonderrig	Lewenswetenskappe-onderrig
lewenswetenskappeonderwys	lewenswetenskappe-onderwys
lewyliggaampie	Lewy-liggaampie
lewyliggaampies	Lewy-liggaampies
lewyliggaamsiekte	Lewy-liggaamsiekte
lex_Aquilia	Lex_Aquilia
lex_talionis	Lex_talionis
Leydsrylaan	Leyds-rylaan
Libertina_Amathilastraat	Libertina_Amathila-straat
Librigebou	Libri-gebou
liealgebra	Lie-algebra
liealgebras	Lie-algebras
liegroep	Lie-groep
liegroepe	Lie-groepe
ligenoïed	lichenoïed
ligenoïede	lichenoïede
liggaamskomposisiemeting	liggaamskomposisie-meting
liggaamskomposisiemetinge	liggaamskomposisie-metinge
liggaamskomposisiemetings	liggaamskomposisie-metings
ligskuwer	ligskuer
liksose	lixose
liksoses	lixoses
likwidasieuitverkoping	likwidasie-uitverkoping
likwidasieuitverkopings	likwidasie-uitverkopings
lilaägtig	lila-agtig
lilaägtige	lila-agtige
Lillian_Ngoyistraat	Lillian_Ngoyi-straat
limfopoiëse	limfopoëse
limfopoiëse	limfopoiese
Limpopoprovinsie	Limpopo-provinsie
Limpoporivier	Limpopo-rivier
lingua_franca	Lingua_franca
linguae_francae	Linguae_francae
linguis	linguïs
linguiste	linguïste
linguistiek	linguïstiek
linguistiekkursus	linguïstiekkursus
linguistiekkursusse	linguïstiekkursusse
linguisties	linguïsties
linguistiese	linguïstiese
Linmedhospitaal	Linmed_Hospitaal
Linyantimoeras	Linyanti-moeras
lipleklekker	liplek-lekker
lippeleklekker	lippelek-lekker
lisensieooreenkoms	lisensie-ooreenkoms
lisensieooreenkomste	lisensie-ooreenkomste
Lisië	Licië
Lisiër	Liciër
Lisiërs	Liciërs
Lisies	Licies
Lisiese	Liciese
listeriosetoets	listeriose-toets
listeriosetoetse	listeriose-toetse
listrosouriër	lystrosouriër
listrosouriërs	lystrosouriërs
listrosourus	lystrosourus
listrosourusse	lystrosourusse
literatuurnavorsing	literatuur-navorsing
literatuursosiologies	literatuur-sosiologies
literatuursosiologiese	literatuur-sosiologiese
literêrhistorici	literêr-historici
literêrhistories	literêr-histories
literêrhistoriese	literêr-historiese
literêrhistorikus	literêr-historikus
literêrhistorikusse	literêr-historikusse
literêrteoreties	literêr-teoreties
literêrteoretiese	literêr-teoretiese
Litoue	Litaue
Litouer	Litauer
Litouers	Litauers
Litous	Litaus
Litouse	Litause
Livingstonehospitaal	Livingstone-hospitaal
Liz_Abrahamsstraat	Liz_Abrahams-straat
LL.B.	LLB
LL.B.-graad	LLB-graad
LL.B.-grade	LLB-grade
LL.B.-kwalifikasie	LLB-kwalifikasie
LL.B.-program	LLB-program
LL.B.-programme	LLB-programme
LL.B.-student	LLB-student
LL.B.-studente	LLB-studente
LL.D.	LLD
LL.D.-program	LLD-program
LL.D.-programme	LLD-programme
LL.M.	LLM
LL.M.-graad	LLM-graad
LL.M.-grade	LLM-grade
LL.M.-program	LLM-program
LL.M.-programme	LLM-programme
loco_citato	Loco_citato
locum_tenens	Locum_tenens
locum_tenentes	Locum_tenentes
lokaleareanetwerk	lokale-areanetwerk
lokaleareanetwerk	lokale-area-netwerk
lokaleareanetwerke	lokale-areanetwerke
lokaleareanetwerke	lokale-area-netwerke
lokum	locum
lokums	locums
lokus	locus
lokusse	locusse
loogas	loog-as
loopbaanindaba	loopbaan-indaba
loopbaanindabas	loopbaan-indabas
lorentzkrag	Lorentz-krag
lorentzkragte	Lorentz-kragte
lorentztransformasies	Lorentz-transformasies
lospryswareaanval	losprysware-aanval
lospryswareaanvalle	losprysware-aanvalle
lospryswarebende	losprysware-bende
lospryswarebendes	losprysware-bendes
Lotaringe	Lotharinge
Lotaringer	Lotharinger
Lotaringers	Lotharingers
Lotarings	Lotharings
Lotaringse	Lotharingse
loudanum	laudanum
Louis_Bothastraat	Louis_Botha-straat
loungemusiek	lounge-musiek
louoondtemperatuur	lou-oondtemperatuur
Lucas_Mangopestraat	Lucas_Mangope-straat
lugfoto-interpretasie	lugfotointerpretasie
lug-grondmissiel	lug-grond-missiel
lug-grondmissiele	lug-grond-missiele
lug-lugmissiel	lug-lug-missiel
lug-lugmissiele	lug-lug-missiele
lugmaghoofkwartier	lugmag-hoofkwartier
lugoperasiesertifikaat	lugoperasie-sertifikaat
lugoperasiesertifikate	lugoperasie-sertifikate
lug-tot-grondmissiel	lug-tot-grond-missiel
lug-tot-grondmissiele	lug-tot-grond-missiele
lug-tot-lugmissiel	lug-tot-lug-missiel
lug-tot-lugmissiele	lug-tot-lug-missiele
lugvaartowerhede	lugvaart-owerhede
lugvaartowerheid	lugvaart-owerheid
Luiperddekorasie	Luiperd-dekorasie
Luiperddekorasies	Luiperd-dekorasies
luitenant-vlieër	luitenantvlieër
luitenant-vlieërs	luitenantvlieërs
Luketz_Swartbooirylaan	Luketz_Swartbooi-rylaan
Lukoergos	Lukourgos
Luthulihuis	Luthuli-huis
lyfeiene	lyfeigene
lyfeienes	lyfeigenes
lymesiekte	Lyme-siekte
M.A.	MA	
M.A.-graad	MA-graad
M.A.-graadprogram	MA-graadprogram
M.A.-graadprogramme	MA-graadprogramme
M.A.-student	MA-student
M.A.-studente	MA-studente
M.B.A.	MBA
M.B.A.-graad	MBA-graad
M.B.A.-grade	MBA-grade
M.B.A.-student	MBA-student
M.B.A.-studente	MBA-studente
M.B.Ch.B.	MBChB
M.Com.	MCom
M.Com.-graad	MCom-graad
M.Com.-grade	MCom-grade
M.Div.	MDiv
M.Div.-program	MDiv-program
M.Div.-programme	MDiv-programme
M.Ed.	MEd
M.Ing.-registrasie	MIng-registrasie
M.Inst.Agrar.	MInstAgrar
M.Med.	MMed
M.Med.-graad	MMed-graad
M.Med.-program	MMed-program
M.Med.-programme	MMed-programme
M.Mus.	MMus
M.Phil.	MPhil
M.Phil.-graad	MPhil-graad
M.Phil.-graadprogram	MPhil-graadprogram
M.Phil.-graadprogramme	MPhil-graadprogramme
M.Phil.-program	MPhil-program
M.Phil.-programme	MPhil-programme
M.Phil.-student	MPhil-student
M.Phil.-studente	MPhil-studente
M.Sc.	MSc
M.Sc.Agric.	MScAgric
M.Tech.	MTech
M.Th.	MTh
M.Th.-program	MTh-program
M.Th.-programme	MTh-programme
Maagdeburg	Magdeburg
Maart-dag-en-nagewening	Maart-dag-en-nag-ewening
maasstroomanalise	maasstroom-analise
maatskaplikewerkadministrasie	maatskaplikewerk-administrasie
maatskaplikewerkbestuur	maatskaplikewerk-bestuur
maatskaplikewerknavorsing	maatskaplikewerk-navorsing
Macaravanigebied	Macaravani-gebied
machokultuur	macho-kultuur
madagaskarbontpaling	Madagaskar-bontpaling
madagaskarbontpalings	Madagaskar-bontpalings
madagaskarralreier	Madagaskar-ralreier
madagaskarralreiers	Madagaskar-ralreiers
madoembi	madumbi
madoembi's	madumbi's
Mafikengkampus	Mafikeng-kampus
magistergraad	magister-graad
magistergrade	magister-grade
magmaoseaan	magma-oseaan
magmaoseane	magma-oseane
magna_opera	Magna_opera
magneto-elektrisiteit	magnetoëlektrisiteit
magnetoöpties	magneto-opties
magnetoöptiese	magneto-optiese
magnum_opus	Magnum_opus
magnum_opusse	Magnum_opusse
ma-goed	magoed
magrieb	magrib
mahangumeel	mahangu-meel
Mahatma_Ghandistraat	Mahatma_Ghandi-straat
Mahatma_Ghandiweg	Mahatma_Ghandi-weg
Mahoganylaan	Mahogany-laan
maître_d'hôtel	Maître_d'hôtel
maîtres_d'hôtel	Maîtres_d'hôtel
maitresse	maîtresse
maitresses	maîtresses
majôba	majoba
majôbas	majobas
majong	mahjong
Major_Mitchellkaketoe	Major_Mitchell-kaketoe
Major_Mitchellkaketoes	Major_Mitchell-kaketoes
makadamia	macadamia
makadamiabome	macadamiabome
makadamiaboom	macadamiaboom
makadamianeut	macadamianeut
makadamianeute	macadamianeute
makadamiaolie	macadamiaolie
makadamias	macadamias
makroanatomie	makro-anatomie
makromolekulêr	makro-molekulêr
makromolekulêre	makro-molekulêre
maksimum-en-minimumtermometer	maksimum-en-minimum-termometer
maksimum-en-minimumtermometers	maksimum-en-minimum-termometers
mala_fide	Mala_fide
mala_mogodu	Mala_mogodu
Malabarklipkabeljou	Malabar-klipkabeljou
Malabarklipkabeljoue	Malabar-klipkabeljoue
malanniet	malaniet
malanniete	malaniete
Malanstasie	Malan-stasie
Malcolm_Spencestraat	Malcolm_Spence-straat
Maledive	Maldive
Maledive-eilande	Maldive-eilande
Malmesburyaksent	Malmesbury-aksent
Malmesburydistrik	Malmesbury-distrik
manalleen	man-alleen
mandamusaansoek	mandamus-aansoek
mandamusaansoeke	mandamus-aansoeke
Mandelakabinet	Mandela-kabinet
Mandelaregering	Mandela-regering
mandolien	mandoline
mandoliens	mandolines
mandolienspeler	mandolinespeler
mandolienspelers	mandolinespelers
Mandraxtablet	Mandrax-tablet
Mandraxtablette	Mandrax-tablette
Mandume_Ndemufayolaan	Mandume_Ndemufayo-laan
Mandume_Ndemufayorylaan	Mandume_Ndemufayo-rylaan
Mandume_Ndemufayostraat	Mandume_Ndemufayo-straat
Mangaunggevangenis	Mangaung-gevangenis
Mangaungovaal	Mangaung-ovaal
mangoatjar	mango-atjar
Mangosuthu-Technikon	Mangosuthu_Technikon
Mangosuthu-Technikon	Mangosuthutechnikon
Mangosuthu-Technikon	Mangosuthu-technikon
Mangosuthu-Universiteit_vir_Tegnologie	Mangosuthu_Universiteit_vir_Tegnologie
Mangosuthu-Universiteit_vir_Tegnologie	Mangosuthu-universiteit_vir_Tegnologie
manicheër	manigeër
manicheër	Manigeër
manicheërs	manigeërs
manicheërs	Manigeërs
manicheïsme	manigeïsme
manicheïsme	Manigeïsme
manicheïsties	manigeïsties
manicheïsties	Manigeïsties
manicheïstiese	manigeïstiese
manicheïstiese	Manigeïstiese
Manila	Manilla
Manileen	Manilleen
Manileens	Manilleens
Manileense	Manilleense
Manilene	Manillene
manilla	manila
manillahennep	manilahennep
manillapapier	manilapapier
manillas	manilas
manillasigaar	manilasigaar
manillasigare	manilasigare
manillatabak	manilatabak
Mankelekeleheuwels	Mankelekele-heuwels
mannekragontleding	mannekrag-ontleding
Mannetjies_Rouxmuseum	Mannetjies_Roux-museum
manslagklag	manslag-klag
manslagklagte	manslag-klagte
manure	man-ure
Manus_Fortuinstraat	Manus_Fortuin-straat
manuskripstadium	manuskrip-stadium
manuur	man-uur
man-vrouverhouding	man-vrou-verhouding
man-vrouverhoudinge	man-vrou-verhoudinge
man-vrouverhoudings	man-vrou-verhoudings
Maorigroet	Maori-groet
Maorilied	Maori-lied
Maoriliedere	Maori-liedere
Maoriliedjie	Maori-liedjie
Maoriliedjies	Maori-liedjies
maraton	marathon
Maraton	Marathon
maratonafstand	marathonafstand
maratonatleet	marathonatleet
maratonatleet	marathon-atleet
maratonatlete	marathonatlete
maratonatlete	marathon-atlete
maratoninkopiesessie	marathoninkopiesessie
maratoninkopiesessies	marathoninkopiesessies
maratonloper	marathonloper
maratonlopers	marathonlopers
maratonne	marathonne
maratonrekord	marathonrekord
maratonrekords	marathonrekords
maratons	marathons
maratonsaamtrek	marathonsaamtrek
maratonswem	marathonswem
maratontaak	marathontaak
maratontake	marathontake
maratontenniswedstryd	marathontenniswedstryd
maratontenniswedstryde	marathontenniswedstryde
maratontyd	marathontyd
maratontye	marathontye
maratonwedloop	marathonwedloop
maratonwedlope	marathonwedlope
maratonwedstryd	marathonwedstryd
maratonwedstryde	marathonwedstryde
Maria-Boodskap	Maria-boodskap
Maria-Geboorte	Mariageboorte
Mariaverering	Maria-verering
Marientaldistrik	Mariental-distrik
marinaontwikkeling	marina-ontwikkeling
Maritzkommando	Maritz-kommando
markekonomie	mark-ekonomie
markekonomieë	mark-ekonomieë
markovmodel	Markov-model
markovmodelle	Markov-modelle
markovproses	Markov-proses
markovprosesse	Markov-prosesse
Markus_Antonius	Marcus_Antonius
Markus_Aurelius	Marcus_Aurelius
Maroelaboomdistrik	Maroelaboom-distrik
maroelaolie	maroela-olie
Mary	Mary	<ne,fname>
masaikameelperd	Masai-kameelperd
masaikameelperde	Masai-kameelperde
Masaistam	Masai-stam
masakhaneprojek	masakhane-projek
masakhaneprojekte	masakhane-projekte
Masedonië	Macedonië
Masedoniër	Macedoniër
Masedoniërs	Macedoniërs
Masedonies	Macedonies
Masedoniese	Macedoniese
masikandemusiek	masikande-musiek
masikandemusikant	masikande-musikant
masikandemusikante	masikande-musikante
masjinerie	masjienerie
masjinerieë	masjienerieë
masjinering	masjienering
Masjona	Mashona
Masjonaland	Mashonaland
Masjonas	Mashonas
maskandamusiek	maskanda-musiek
maskandamusikant	maskanda-musikant
maskandamusikante	maskanda-musikante
maskandimusiek	maskandi-musiek
maskandimusikant	maskandi-musikant
maskandimusikante	maskandi-musikante
Maskat	Masqat
massaeenhede	massa-eenhede
massaeenheid	massa-eenheid
massaelement	massa-element
massaelemente	massa-elemente
massaenergieverband	massa-energieverband
massaevaluering	massa-evaluering
massaevaluerings	massa-evaluerings
massaevalueringsbenadering	massa-evalueringsbenadering
massahongersnood	massa-hongersnood
massamarkartikel	massamark-artikel
massamarkartikels	massamark-artikels
massamiddelpuntkoördinaatstelsel	massamiddelpunt-koördinaatstelsel
massamiddelpuntkoördinaatstelsels	massamiddelpunt-koördinaatstelsels
massaonderwys	massa-onderwys
massaoordragbeperking	massa-oordragbeperking
massaoordragbeperkinge	massa-oordragbeperkinge
massaoordragbeperkings	massa-oordragbeperkings
massaoorgawe	massa-oorgawe
massaoorgawes	massa-oorgawes
massaopstand	massa-opstand
massaopstande	massa-opstande
massaoptog	massa-optog
massaoptogte	massa-optogte
massaorganisasie	massa-organisasie
massaorganisasies	massa-organisasies
massavervaardiging	massa-vervaardiging
mastoïdektomie	mastoïedektomie
mastoïdektomieë	mastoïedektomieë
Matabele	Matebele
Matabelekoning	Matebelekoning
Matabelekonings	Matebelekonings
Matabeleland	Matebeleland
Matabeleoorlog	Matabele-oorlog
Matabeleopstand	Matabele-opstand
Matabelerebellie	Matabele-rebellie
Matabeles	Matebeles
Matabelestam	Matebelestam
Matabelestamme	Matebelestamme
Mau-Mauopstand	Mau-Mau-opstand
mauser	mouser
mausers	mousers
mausolea	mousolea
mausoleum	mousoleum
mausoleums	mousoleums
maxwell-boltzmannverdeling	Maxwell-Boltzmannverdeling
maxwell-boltzmannverdeling	Maxwell-Boltzmann-verdeling
maxwellteorie	Maxwell-teorie
maxwellverdeling	Maxwell-verdeling
maxwellvergelyking	Maxwell-vergelyking
maxwellvergelykinge	Maxwell-vergelykinge
maxwellvergelykings	Maxwell-vergelykings
mazel_tov	Mazel_tov
M'basherivier	Mbasherivier
Mbekiregering	Mbeki-regering
Mbolompo	Mbholompo
Mc_Farlanestraat	Mc_Farlane-straat
Mc_Farlanestraat	McFarlanestraat
Mc_Farlanestraat	McFarlane-straat
Mc_Gregorkeerweg	Mc_Gregor_Keerweg
Mc_Gregorkeerweg	Mc_Gregor-keerweg
Mc_Gregorkeerweg	McGregorkeerweg
Mc_Gregorkeerweg	McGregor-keerweg
McGregormuseum	McGregor-museum
McLachlanplein	McLachlan-plein
mea_culpa	Mea_culpa
medaljekandidaat	medalje-kandidaat
medaljekandidate	medalje-kandidate
medeaanbieder	mede-aanbieder
medeaanbieders	mede-aanbieders
medeafrigter	mede-afrigter
medeafrigters	mede-afrigters
medeambassadeur	mede-ambassadeur
medeambassadeurs	mede-ambassadeurs
medeargitek	mede-argitek
medeargitekte	mede-argitekte
medegimganger	mede-gimganger
medegimgangers	mede-gimgangers
medemotoris	mede-motoris
medemotoriste	mede-motoriste
medeondertekenend	mede-ondertekenend
medeondertekenende	mede-ondertekenende
medeonderwyser	mede-onderwyser
medeonderwysers	mede-onderwysers
medeontvanger	mede-ontvanger
medeontvangers	mede-ontvangers
medeoorsaak	mede-oorsaak
medeoorsake	mede-oorsake
medeskrywer	mede-skrywer
medeskrywers	mede-skrywers
medeslaaf	mede-slaaf
medeslawe	mede-slawe
medestigter	mede-stigter
medestigters	mede-stigters
medevervaardiger	mede-vervaardiger
medevervaardigers	mede-vervaardigers
medevlieënier	mede-vlieënier
medevlieëniers	mede-vlieëniers
media-elite	mediaelite
media-etiek	mediaetiek
mediagedragskode	media-gedragskode
mediamaatskappy	media-maatskappy
mediamaatskappye	media-maatskappye
mediamagnaat	media-magnaat
mediamagnate	media-magnate
mediaombudsman	media-ombudsman
mediaomstredenheid	media-omstredenheid
mediaonderhoud	media-onderhoud
mediaonderhoude	media-onderhoude
mediaonderneming	media-onderneming
mediaonderneminge	media-onderneminge
mediaondernemings	media-ondernemings
mediaopleidingsprogram	media-opleidingsprogram
mediaopleidingsprogramme	media-opleidingsprogramme
medieseparoolvoorwaardes	mediese-parool-voorwaardes
medisyneagtig	medisynagtig
medisyneagtige	medisynagtige
mediumgroot	medium-groot
mediumtermynbegroting	mediumtermyn-begroting
mediumtermynbegrotings	mediumtermyn-begrotings
mediumtermynbegrotingsraamwerk	mediumtermyn-begrotingsraamwerk
Medunsa	MEDUNSA
meerlaagperseptron	meerlaag-perseptron
meerlaagperseptrone	meerlaag-perseptrone
megaämpère	mega-ampère
megaämpères	mega-ampères
megaelektronvolt	mega-elektronvolt
Mei_Warriesstraat	Mei_Warries-straat
Mej._Heelal	Mej_Heelal
Mej._Matieland	Mej_Matieland
Mej._RSA	Mej_RSA
Mej._SA	Mej_SA
Mej._Suid-Afrika	Mej_Suid-Afrika
Mekka	Makka
Mekkaan	Makkaan
Mekkaans	Makkaans
Mekkaanse	Makkaanse
Mekkaganger	Makkaganger
Mekkagangers	Makkagangers
Mekkane	Makkane
Meksikaan	Mexikaan
Meksikaans	Mexikaans
Meksikaanse	Mexikaanse
Meksikane	Mexikane
Meksiko	Mexiko
Meksikostad	Mexikostad
meksim	maxim
meksims	maxims
memento_mori	Memento_mori
menseoffer	mense-offer
menseoffers	mense-offers
menseoor	mense-oor
menseore	mense-ore
mensereggebaseer	mensereg-gebaseer
mensereggebaseerd	mensereg-gebaseerd
mensereggebaseerde	mensereg-gebaseerde
menseregteadvokaat	menseregte-advokaat
menseregteadvokate	menseregte-advokate
menseregteaktivis	menseregte-aktivis
menseregteaktiviste	menseregte-aktiviste
menseregtegroep	menseregte-groep
menseregtegroepe	menseregte-groepe
menseregteliggaam	menseregte-liggaam
menseregteonderrig	menseregte-onderrig
menseregteorganisasie	menseregte-organisasie
menseregteorganisasies	menseregte-organisasies
menseregteskending	menseregte-skending
menseregteskendinge	menseregte-skendinge
menseregteskendings	menseregte-skendings
mensgenetikateorie	mensgenetika-teorie
mensgenoom	mens-genoom
menslikehulpbronbeplanning	menslikehulpbron-beplanning
menslikeontwikkelingsprogram	menslike-ontwikkelingsprogram
menslikeontwikkelingsprogramme	menslike-ontwikkelingsprogramme
Mercedesbussie	Mercedes-bussie
Mercedesbussies	Mercedes-bussies
merkatorprojeksie	mercatorprojeksie
merkatorprojeksies	mercatorprojeksies
Merkurius	Mercurius
Merowinger	merovinger
Merowinger	Merovinger
Merowinger	merowinger
Merowingers	merovingers
Merowingers	Merovingers
Merowingers	merowingers
Merowingies	merovingies
Merowingies	Merovingies
Merowingies	merowingies
Merowingiese	merovingiese
Merowingiese	Merovingiese
Merowingiese	merowingiese
merseriseer	merceriseer
mesenas	maecenas
mesenasse	maecenasse
mesenassies	maecenassies
mesenassiese	maecenassiese
mesenchimaal	mesenkiemaal
mesenchimale	mesenkiemale
mes-en-vurklaai	mes-en-vurk-laai
mes-en-vurklaaie	mes-en-vurk-laaie
Mesosoïkumera	Mesosoïkum-era
Mesosoïkumperiode	Mesosoïkum-periode
messiaans	Messiaans
messiaanse	Messiaanse
Messierkatalogus	Messier-katalogus
met_behulp_van	Met_behulp_van
met_dapper_en_stapper	Met_dapper_en_stapper
met_dien_verstande	Met_dien_verstande
met_horte_en_stote	Met_horte_en_stote
met_inbegrip_van	Met_inbegrip_van
met_lede_oë	Met_lede_oë
met_name	Met_name
metaänalise	meta-analise
metamfetamienverslawing	metamfetamien-verslawing
metatoestand	meta-toestand
metatoestande	meta-toestande
metertaxi	meter-taxi
metertaxi's	meter-taxi's
metgesel-ster	metgeselster
metgesel-sterre	metgeselsterre
méthode_champenoise	methode_champenoise
méthode_champenoise	Methode_champenoise
méthode_champenoise	Méthode_champenoise
mêtjiestokkie	mêtjie-stokkie
mêtjiestokkies	mêtjie-stokkies
metodeontwikkeling	metode-ontwikkeling
metrologielaboratorium	metrologie-laboratorium
Metrorailtrein	Metrorail-trein
Metrorailtreine	Metrorail-treine
mezza_voce	Mezza_voce
mezze	meze
mezzo_forte	Mezzo_forte
mezzo_piano	Mezzo_piano
Mfecanekonflik	Mfecane-konflik
Mfecanekonflikte	Mfecane-konflikte
Mgwalirivier	Mgwali-rivier
miaau	miau
miaauend	miauend
miaauende	miauende
miaaus	miaus
miaautjie	miautjie
miaautjies	miautjies
Michael_Brinkweg	Michael_Brink-weg
Michelinster	Michelin-ster
Michelinsterre	Michelin-sterre
Michelle_McLeanstraat	Michelle_McLean-straat
Michellspas	Michell's-pas
middelafstandkampioen	middelafstand-kampioen
middelafstandkampioene	middelafstand-kampioene
Middel-Bronstyd	Middelbronstyd
Middel-Bronstydperk	Middelbronstydperk
middeleeus	Middeleeus
middeleeuse	Middeleeuse
Middelegipties	Middel-Egipties
Middelengels	Middel-Engels
Middelengelse	Middel-Engelse
Middelhoogduits	Middel-Hoogduits
Middelhoogduitse	Middel-Hoogduitse
Middelsteentyd	Middel-Steentyd
middertigs	mid-dertigs
midoseaanrif	mid-oseaanrif
midoseaanriwwe	mid-oseaanriwwe
mielieaanplanting	mielie-aanplanting
mielieaanplantinge	mielie-aanplantinge
mielieaanplantings	mielie-aanplantings
mielieoes	mielie-oes
mielieoeste	mielie-oeste
migraineaanval	migraine-aanval
migraineaanvalle	migraine-aanvalle
migrasieagtergrond	migrasie-agtergrond
mikaägtig	mika-agtig
mikaägtige	mika-agtige
mik-en-drukkamera	mik-en-druk-kamera
mik-en-drukkameras	mik-en-druk-kameras
mikroanatomie	mikro-anatomie
mikrobiologielaboratoria	mikrobiologie-laboratoria
mikrobiologielaboratorium	mikrobiologie-laboratorium
mikrobiologielaboratoriums	mikrobiologie-laboratoriums
mikroëlektronika	mikro-elektronika
mikroëlement	mikro-element
mikroëlemente	mikro-elemente
mikroficheapparaat	mikrofiche-apparaat
mikroficheapparate	mikrofiche-apparate
mikroöhm	mikro-ohm
mikroöhms	mikro-ohms
mikroömgewing	mikro-omgewing
mikroönderneming	mikro-onderneming
mikroönderneminge	mikro-onderneminge
mikroöndernemings	mikro-ondernemings
mikroörganisme	mikro-organisme
mikroörganismes	mikro-organismes
mikrorekenaarargitektuur	mikrorekenaar-argitektuur
min_of_meer	Min_of_meer
minderbroeder	Minderbroeder
minderbroeders	Minderbroeders
minibusongeluk	minibus-ongeluk
minibusongelukke	minibus-ongelukke
mini-doen-dit-selfhandleiding	mini-doen-dit-self-handleiding
mini-doen-dit-selfhandleidings	mini-doen-dit-self-handleidings
minigravitasiekolk	mini-gravitasiekolk
minigravitasiekolke	mini-gravitasiekolke
minimumdrempel	minimum-drempel
miniorgaan	mini-orgaan
miniorgane	mini-organe
minjan	minyan
Minnie_Hofmeyrkollege	Minnie_Hofmeyr_Kollege
Minnie_Hofmeyrkollege	Minnie_Hofmeyr-kollege
Minnie_Hofmeyrkollege	Minnie_Hofmeyr-Kollege
Mintek	MINTEK
minusieus	minutieus
minusieuse	minutieuse
minusieuser	minutieuser
minusieusste	minutieusste
Miraster	Mira-ster
Mirasterre	Mira-sterre
Miraveranderlike	Mira-veranderlike
Miraveranderlikes	Mira-veranderlikes
misdaadbrandpunt	misdaad-brandpunt
misdaadbrandpunte	misdaad-brandpunte
misdaadrillerreeks	misdaadriller-reeks
misdaadrillerreekse	misdaadriller-reekse
misteriegodsdiens	misterie-godsdiens
misteriegodsdienste	misterie-godsdienste
Mitras	Mithras
Mitridates	Mithridates
mits_dese	Mits_dese
Mnyolorivier	Mnyolo-rivier
modeartikel	mode-artikel
modeartikels	mode-artikels
modefotosessie	mode-fotosessie
modefotosessies	mode-fotosessies
model_A-skole	Model_A-skole
model_A-skool	Model_A-skool
model_B-skole	Model_B-skole
model_B-skool	Model_B-skool
model_C-skole	Model_C-skole
model_C-skool	Model_C-skool
model_D-skole	Model_D-skole
model_D-skool	Model_D-skool
modelevaluering	model-evaluering
moduleonderwerp	module-onderwerp
moduleonderwerpe	module-onderwerpe
modus_operandi	Modus_operandi
modus_vivendi	Modus_vivendi
moeder-kindoordrag	moeder-kind-oordrag
moederowerste	moeder-owerste
moederowerstes	moeder-owerstes
Moedersdagpromosie	Moedersdag-promosie
moefti	mufti
moefti's	mufti's
moegammadaans	muchammadaans
moegammadaanse	muchammadaanse
moegoe	mugu
moegoes	mugu's
Moembai	Mumbai
Moembaier	Mumbaier
Moembaiers	Mumbaiers
Moembais	Mumbais
Moembaise	Mumbaise
moeruit	moer-uit
moesliemherkoms	moesliem-herkoms
moesliemherkomste	moesliem-herkomste
moeslieminvloed	moesliem-invloed
moeslieminvloede	moesliem-invloede
moetie	muti
moet-lees-boek	moetleesboek
moet-lees-boek	moetlees-boek
moet-lees-boeke	moetleesboeke
moet-lees-boeke	moetlees-boeke
Mogadisjoe	Mogadishu
Mohlapitserivier	Mohlapitse-rivier
Molefe_Makintastraat	Molefe_Makinta-straat
Mombassa	Mombasa
momentmagnitude	moment-magnitude
momentmagnitudes	moment-magnitudes
momentmagnitudeskaal	moment-magnitude-skaal
Monegask	Monagask
Monegaske	Monagaske
Monegaskies	Monagaskies
Monegaskiese	Monagaskiese
monnikaasvoël	monnik-aasvoël
monnikaasvoëls	monnik-aasvoëls
Mont_Roselaan	Mont_Rose-laan
Mont_Vuelaan	Mont_Vue-laan
Montagugrot	Montagu-grot
Montaguwarmbron	Montagu-warmbron
Montaguwarmwaterbron	Montagu-warmwaterbron
Monte_Cristolaan	Monte_Cristo-laan
montessorimetode	Montessori-metode
Mopanisaal	Mopani-saal
Morfeus	Morpheus
morsaf	mors-af
Morsealfabet	Morse-alfabet
Moses_Mabhidastadion	Moses_Mabhida-stadion
Moses_Tjitinderostraat	Moses_Tjitindero-straat
Mosjwesjwe	Moshoeshoe
moskeeaanval	moskee-aanval
moskeeaanvalle	moskee-aanvalle
Moskougeoriënteer	Moskou-georiënteer
Moskougeoriënteerde	Moskou-georiënteerde
Moslem-_Juridiese_Raad	Moslem_Juridiese_Raad
moslembevolking	moslem-bevolking
moslembevolking	Moslem-bevolking
moslemfundamentalisties	moslem-fundamentalisties
moslemfundamentalistiese	moslem-fundamentalistiese
moslemheilige	moslem-heilige
moslemheiliges	moslem-heiliges
moslemkoninkryk	moslem-koninkryk
moslemkoninkryke	moslem-koninkryke
moslemmens	moslem-mens
moslemmense	moslem-mense
moslemoorheersing	moslem-oorheersing
moslemwoning	moslem-woning
moslemwonings	moslem-wonings
Mossoel	Mosoel
mosterdsaad	mostertsaad
mosterdsaadjie	mostertsaadjie
mosterdsaadjies	mostertsaadjies
motorfietsambulans	motorfiets-ambulans
motorfietsambulanse	motorfiets-ambulanse
motorneuronsiektelyer	motorneuronsiekte-lyer
motorneuronsiektelyers	motorneuronsiekte-lyers
Mouillepuntpromenade	Mouillepunt-promenade
Mount_Joylaan	Mount_Joy-laan
mouophouer	mou-ophouer
mouophouers	mou-ophouers
