!Kheis	Kheis
Afrikaleier	Afrika-leier
Afrikaleiers	Afrika-leiers
Afrikaleierskap	Afrika-leierskap
Afrikalepelaar	Afrika-lepelaar
Afrikalepelaars	Afrika-lepelaars
Afrikalid	Afrika-lid
Afrikaliteratuur	Afrika-literatuur
Afrikamark	Afrika-mark
Afrikamotief	Afrika-motief
Afrikamotiewe	Afrika-motiewe
Afrikanasie	Afrika-nasie
Afrikanasies	Afrika-nasies
Afrikaner-Broederbond	Afrikaner_Broederbond
Afrikanerbul	Afrikaner-bul
Afrikanerbulle	Afrikaner-bulle
Afrikanerestablishment	Afrikaner-establishment
Afrikanergeledere	Afrikaner-geledere
Afrikanermonument	Afrikaner-monument
Afrikanermonumente	Afrikaner-monumente
Afrikanernasionalisme	Afrikaner-nasionalisme
Afrikanernedersetting	Afrikaner-nedersetting
Afrikanernedersettinge	Afrikaner-nedersettinge
Afrikanernedersettings	Afrikaner-nedersettings
Afrikanerorganisasie	Afrikaner-organisasie
Afrikanerorganisasies	Afrikaner-organisasies
Afrikanerselfbeskikking	Afrikaner-selfbeskikking
Afrikaolifant	Afrika-olifant
Afrikaolifantbevolking	Afrika-olifantbevolking
Afrikaolifantbevolkinge	Afrika-olifantbevolkinge
Afrikaolifantbevolkings	Afrika-olifantbevolkings
Afrikaolifante	Afrika-olifante
Afrikaontwikkelingsbank	Afrika-ontwikkelingsbank
Afrikapadkampioen	Afrika-padkampioen
Afrikapadkampioene	Afrika-padkampioene
Afrikaperspektief	Afrika-perspektief
Afrikapikkewyn	Afrika-pikkewyn
Afrikapikkewyne	Afrika-pikkewyne
Afrikapluimbalkampioenskap	Afrika-pluimbalkampioenskap
Afrikapluimbalkampioenskappe	Afrika-pluimbalkampioenskappe
Afrikaranglys	Afrika-ranglys
Afrikareis	Afrika-reis
Afrikarenaissance	Afrika-renaissance
Afrikarotsluislang	Afrika-rotsluislang
Afrikarotsluislange	Afrika-rotsluislange
Afrikasamelewing	Afrika-samelewing
Afrikasamelewings	Afrika-samelewings
Afrikaskild	Afrika-skild
Afrikason	Afrika-son
Afrikasosialisme	Afrika-sosialisme
Afrikastaatshoof	Afrika-staatshoof
Afrikastaatshoofde	Afrika-staatshoofde
Afrikastad	Afrika-stad
Afrikastede	Afrika-stede
Afrikataal	Afrika-taal
Afrikatale	Afrika-tale
Afrikateater	Afrika-teater
Afrikatitel	Afrika-titel
